web-scraper-order,web-scraper-start-url,name,price,image-src
"1536626761-1560","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-ear Stereo Earbuds Headphone Earphone Headset for Phone MP4 MP3 N5E8","$0.71","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1537","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Original Samsung AKG Earphones Headset Galaxy s6 s8 s8 + s9 Note 8 a3 a5","$5.48","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1594","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","In-Ear Headset Earphone Headphone Handfree Mic For Samsung S6 S5 S4 Note 2 3","$1.39 to $1.59","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1488","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","OEM Samsung AKG Earphones Headphones Headset Galaxy S6 S7 S8 S8+ S9 Note 8 A3 A5","$6.63","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1543","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","White Earphones Earbuds Headphone Mic for Apple EarPods iPhone 5 5s 6s 6 Plus","$1.62","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1637","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Original Headset Earphone Headphone With Mic For Samsung GALAXY S6 i9800 S6 Edge","$1.51","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1638","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","I7S TWS Camo In-Ear Earbuds Wireless Stereo Ear Mini Bluetooth Headset Earphone","$9.97","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1634","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-ear Stereo Earbuds Headphone Earphone Headset for Phone MP4 MP3 B6H4","$0.71","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1572","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Sports Stereo Earphone Headset For Pad iPhone 8 X Samsung S9 HTC Huawei","$0.99 to $2.25","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1518","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","I7s TWS True Cuffie Auricolari Bluetooth4.2 Wireless Auricolari Musica Handsfree","$6.54","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
