web-scraper-order,web-scraper-start-url,name,price,image-src
"1536624640-1440","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For iPhone 10/7/8 Plus Case, Hybrid Ultra Thin Matte Hard Armor Phone Covers","$6.99","https://i.ebayimg.com/thumbs/images/m/mbiwBXXCSXoZEQmCYvY_7eg/s-l225.jpg"
"1536624640-1400","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Soft Cases For iPhone X 8 7 6s Plus Cute Animal Dog Cat Candy Color Phone Covers","$2.99","https://i.ebayimg.com/thumbs/images/m/mS_yIMAqbH4NI1BJQPbdqiw/s-l225.jpg"
"1536624640-1387","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Rick and Morty Season Phone Covers for Samsung Galaxy A3 A5 2015 2016 2017 2018","$1.93","https://i.ebayimg.com/thumbs/images/m/mTrOFYNArPpeux2vmHQSb_Q/s-l225.jpg"
"1536624640-1418","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","New Pineapple Fruit Phone Cases Matte Hard Phone Covers For iPhone 8 7 6 6s Plus","$2.45","https://i.ebayimg.com/thumbs/images/m/mXZUUP3gbhN3mnuE9XWYOow/s-l225.jpg"
"1536624640-1388","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Slim Skin Case Cover For Huawei Honor 10 9 8 Lite Phone Covers Friends","$2.49","https://i.ebayimg.com/thumbs/images/m/m4IbYlwV63_wGjGQ1YKWNKg/s-l225.jpg"
"1536624640-1454","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Wrist Band Case For iPhone X 10 6 7 8 Plus Women Flower Kickstand Phone Covers","$16.00","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1406","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Hard Matte Cases Cool Galaxy Moon Plane Design Phone Covers For iPhone 7 6S Plus","$2.75","https://i.ebayimg.com/thumbs/images/m/m6mVKIgbyD0bdWi-RM5WUMg/s-l225.jpg"
"1536624640-1401","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Cute Clear Bling 3D Cat Pattern Cases Phone Covers For iPhone X 8 7 6s Plus","$3.98","https://i.ebayimg.com/thumbs/images/m/mcI_2sd0KA36Ru3OaR3nJ8Q/s-l225.jpg"
"1536624640-1441","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Hot Moon Space Map Phone Covers for Galaxy Samsung A3 2015 A5 2016 2017 2018","$1.93","https://i.ebayimg.com/thumbs/images/m/mFeAYSrIXymnMO41IYcfRBw/s-l225.jpg"
"1536624640-1458","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Showman Phone Covers Mobile Cases For Apple iPhone 10 X 8 Plus 6 6S 5S 5 4S 4 7","$1.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
